"STN","STARTT","STOPT","LOCATIE","STN_HOOGTE","STN_POS_X","STN_POS_Y","STN_POS_NB","STN_POS_OL"
90,19500502,99991231,"Eernewoude",-1.1,191.9,573.7,53.1,5.9
91,19600101,99991231,"Ternaard",1.68,194.0,598.9,53.3,5.9
134,19910101,99991231,"Middelstum",-0.91,236.6,593.5,53.3,6.6
135,19210117,99991231,"Woltersum",0.2,244.6,587.9,53.2,6.7
136,19920101,99991231,"Ezinge",-0.6,225.6,589.4,53.2,6.4
139,18470101,99991231,"Groningen",1.96,235.0,577.9,53.1,6.5
140,18520331,99991231,"Assen",10.7,236.1,558.0,53.0,6.5
141,18720401,99991231,"Delfzijl",3.4,258.4,593.9,53.3,6.9
142,18750101,99991231,"Warffum",1.15,232.7,601.5,53.3,6.5
143,18910901,99991231,"Finsterwolde",2,269.4,581.2,53.2,7.1
144,18910901,99991231,"Ter Apel",10.84,267.9,543.9,52.8,7.0
145,18991201,99991231,"Zoutkamp",1.1,214.5,594.1,53.3,6.2
147,19060512,99991231,"Veendam",1.55,253.8,568.2,53.0,6.8
148,19090901,99991231,"Sappemeer",0.3,245.3,575.2,53.1,6.7
150,18890601,99991231,"Uithuizen",1.51,239.2,603.0,53.4,6.6
151,19211101,99991231,"Roodeschool",1.86,244.8,604.1,53.4,6.7
152,19231214,99991231,"Gieterveen",3.8,252.3,561.2,53.0,6.8
154,19260314,99991231,"Eenrum",0.54,226.6,598.0,53.3,6.4
155,19290501,99991231,"Eext",17.73,245.7,557.8,53.0,6.7
156,19310201,99991231,"Vlagtwedde",3.1,270.4,562.0,53.0,7.1
158,19350301,99991231,"Onnen",2.6,239.5,573.4,53.1,6.6
159,19410401,99991231,"Nieuw Buinen",6.38,259.8,554.0,52.9,6.9
160,19421018,99991231,"Veenhuizen DR",8,222.4,562.9,53.0,6.3
161,19490101,99991231,"Eelde",4.3,234.0,571.1,53.1,6.5
162,19471101,99991231,"Niekerk",0.58,218.9,581.8,53.2,6.3
163,19490709,99991231,"Roden",3.44,225.0,574.7,53.1,6.4
164,19510101,99991231,"Zeerijp",0.1,246.1,596.5,53.3,6.7
166,19160401,99991231,"Marum",2.3,214.4,572.9,53.1,6.2
171,19950501,99991231,"Anjum",0.6,204.4,599.9,53.3,6.1
172,19920501,99991231,"Nieuwolda",-0.11,262.6,585.5,53.2,7.0
173,20180201,99991231,"Blijham",-0.8,266.9,572.5,53.1,7.0
217,19431001,99991231,"Heiloo",-0.29,110.6,511.6,52.5,4.7
