# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   RH, EV24
# 
  350,19530514,     ,     
  350,19530515,     ,     
  350,19530516,     ,     
  350,19530517,     ,     
  350,19530518,     ,     
  350,19530519,     ,     
  350,19530520,     ,     
  350,19530521,     ,     
  350,19530522,     ,     
  350,19530523,     ,     
  350,19530524,     ,     
  350,19530525,     ,     
  350,19530526,     ,     
  350,19530527,     ,     
  350,19530528,     ,     
  350,19530529,     ,     
  350,19530530,     ,     
  350,19530531,     ,     
  350,19530601,     ,     
  350,19530602,     ,     
  350,19530603,     ,     
  350,19530604,     ,     
  350,19530605,     ,     
  350,19530606,     ,     
  350,19530607,     ,     
  350,19530608,     ,     
  350,19530609,     ,     
  350,19530610,     ,     
  350,19530611,     ,     
  350,19530612,     ,     
  350,19530613,     ,     
  350,19530614,     ,     
  350,19530615,     ,     
  350,19530616,     ,     
  350,19530617,     ,     
  350,19530618,     ,     
  350,19530619,     ,     
  350,19530620,     ,     
  350,19530621,     ,     
  350,19530622,     ,     
  350,19530623,     ,     
  350,19530624,     ,     
  350,19530625,     ,     
  350,19530626,     ,     
  350,19530627,     ,     
  350,19530628,     ,     
  350,19530629,     ,     
  350,19530630,     ,     
  350,19530701,     ,     
  350,19530702,     ,     
  350,19530703,     ,     
  350,19530704,     ,     
  350,19530705,     ,     
  350,19530706,     ,     
  350,19530707,     ,     
  350,19530708,     ,     
  350,19530709,     ,     
  350,19530710,     ,     
  350,19530711,     ,     
  350,19530712,     ,     
  350,19530713,     ,     
  350,19530714,     ,     
  350,19530715,     ,     
  350,19530716,     ,     
  350,19530717,     ,     
  350,19530718,     ,     
  350,19530719,     ,     
  350,19530720,     ,     
  350,19530721,     ,     
  350,19530722,     ,     
  350,19530723,     ,     
  350,19530724,     ,     
  350,19530725,     ,     
  350,19530726,     ,     
  350,19530727,     ,     
  350,19530728,     ,     
  350,19530729,     ,     
  350,19530730,     ,     
  350,19530731,     ,     
  350,19530801,     ,     
  350,19530802,     ,     
  350,19530803,     ,     
  350,19530804,     ,     
  350,19530805,     ,     
  350,19530806,     ,     
  350,19530807,     ,     
  350,19530808,     ,     
