Date,Waterstand gemeten,Theoretische curve (Q50),Theoretische curve (Q90)
2018-03-28 17:45:00,35.491,NaN,NaN
2018-03-28 18:00:00,35.492,NaN,NaN
2018-03-28 18:15:00,35.492,NaN,NaN
2018-03-28 18:30:00,35.491,NaN,NaN
2018-03-28 18:45:00,35.491,NaN,NaN
2018-03-28 19:00:00,35.490,NaN,NaN
2018-03-28 19:15:00,35.491,NaN,NaN
2018-03-28 19:30:00,35.492,NaN,NaN
2018-03-28 19:45:00,35.490,NaN,NaN
2018-03-28 20:00:00,35.489,NaN,NaN
2018-03-28 20:15:00,35.490,NaN,NaN
2018-03-28 20:30:00,35.492,NaN,NaN
2018-03-28 20:45:00,35.486,NaN,NaN
2018-03-28 21:00:00,35.481,NaN,NaN
2018-03-28 21:15:00,35.488,NaN,NaN
2018-03-28 21:30:00,35.495,NaN,NaN
2018-03-28 21:45:00,35.492,NaN,NaN
2018-03-28 22:00:00,35.490,NaN,NaN
2018-03-28 22:15:00,35.489,NaN,NaN
2018-03-28 22:30:00,35.488,NaN,NaN
2018-03-28 22:45:00,35.485,NaN,NaN
2018-03-28 23:00:00,35.482,NaN,NaN
2018-03-28 23:15:00,35.486,NaN,NaN
2018-03-28 23:30:00,35.489,NaN,NaN
2018-03-28 23:45:00,35.483,NaN,NaN
2018-03-29 00:00:00,35.477,NaN,NaN
2018-03-29 00:15:00,35.481,NaN,NaN
2018-03-29 00:30:00,35.485,NaN,NaN
2018-03-29 00:45:00,35.483,NaN,NaN
2018-03-29 01:00:00,35.480,NaN,NaN
2018-03-29 01:15:00,35.484,NaN,NaN
2018-03-29 01:30:00,35.488,NaN,NaN
2018-03-29 01:45:00,35.485,NaN,NaN
2018-03-29 02:00:00,35.482,NaN,NaN
2018-03-29 02:15:00,35.486,NaN,NaN
2018-03-29 02:30:00,35.489,NaN,NaN
2018-03-29 02:45:00,35.486,NaN,NaN
2018-03-29 03:00:00,35.484,NaN,NaN
2018-03-29 03:15:00,35.481,NaN,NaN
2018-03-29 03:30:00,35.478,NaN,NaN
2018-03-29 03:45:00,35.483,NaN,NaN
2018-03-29 04:00:00,35.488,NaN,NaN
2018-03-29 04:15:00,35.485,NaN,NaN
2018-03-29 04:30:00,35.482,NaN,NaN
2018-03-29 04:45:00,35.484,NaN,NaN
2018-03-29 05:00:00,35.486,NaN,NaN
2018-03-29 05:15:00,35.485,NaN,NaN
2018-03-29 05:30:00,35.484,NaN,NaN
2018-03-29 05:45:00,35.485,NaN,NaN
2018-03-29 06:00:00,35.486,NaN,NaN
2018-03-29 06:15:00,35.485,NaN,NaN
2018-03-29 06:30:00,35.485,NaN,NaN
2018-03-29 06:45:00,35.485,NaN,NaN
2018-03-29 07:00:00,35.485,NaN,NaN
2018-03-29 07:15:00,35.485,NaN,NaN
2018-03-29 07:30:00,35.485,NaN,NaN
2018-03-29 07:45:00,35.481,NaN,NaN
2018-03-29 08:00:00,35.478,NaN,NaN
2018-03-29 08:15:00,35.480,NaN,NaN
2018-03-29 08:30:00,35.482,NaN,NaN
2018-03-29 08:45:00,35.485,NaN,NaN
2018-03-29 09:00:00,35.487,NaN,NaN
2018-03-29 09:15:00,35.482,NaN,NaN
2018-03-29 09:30:00,35.476,NaN,NaN
2018-03-29 09:45:00,35.481,NaN,NaN
2018-03-29 10:00:00,35.486,NaN,NaN
2018-03-29 10:15:00,35.482,NaN,NaN
2018-03-29 10:30:00,35.479,NaN,NaN
2018-03-29 10:45:00,35.482,NaN,NaN
2018-03-29 11:00:00,35.486,NaN,NaN
2018-03-29 11:15:00,35.486,NaN,NaN
2018-03-29 11:30:00,35.485,NaN,NaN
2018-03-29 11:45:00,35.487,NaN,NaN
2018-03-29 12:00:00,35.488,NaN,NaN
2018-03-29 12:15:00,35.485,NaN,NaN
2018-03-29 12:30:00,35.481,NaN,NaN
2018-03-29 12:45:00,35.480,NaN,NaN
2018-03-29 13:00:00,35.478,NaN,NaN
2018-03-29 13:15:00,35.481,NaN,NaN
2018-03-29 13:30:00,35.483,NaN,NaN
2018-03-29 13:45:00,35.481,NaN,NaN
2018-03-29 14:00:00,35.478,NaN,NaN
2018-03-29 14:15:00,35.482,NaN,NaN
2018-03-29 14:30:00,35.486,NaN,NaN
2018-03-29 14:45:00,35.486,NaN,NaN
2018-03-29 15:00:00,35.487,NaN,NaN
2018-03-29 15:15:00,35.484,NaN,NaN
2018-03-29 15:30:00,35.481,NaN,NaN
2018-03-29 15:45:00,35.485,NaN,NaN
2018-03-29 16:00:00,35.489,NaN,NaN
2018-03-29 16:15:00,35.487,NaN,NaN
2018-03-29 16:30:00,35.486,NaN,NaN
2018-03-29 16:45:00,35.488,NaN,NaN
2018-03-29 17:00:00,35.491,NaN,NaN
2018-03-29 17:15:00,35.489,NaN,NaN
2018-03-29 17:30:00,35.486,NaN,NaN
2018-03-29 17:45:00,35.488,NaN,NaN
2018-03-29 18:00:00,35.490,NaN,NaN
2018-03-29 18:15:00,35.487,NaN,NaN
2018-03-29 18:30:00,35.483,NaN,NaN
2018-03-29 18:45:00,35.485,NaN,NaN
2018-03-29 19:00:00,35.487,NaN,NaN
2018-03-29 19:15:00,35.488,NaN,NaN
2018-03-29 19:30:00,35.489,NaN,NaN
2018-03-29 19:45:00,35.484,NaN,NaN
2018-03-29 20:00:00,35.479,NaN,NaN
2018-03-29 20:15:00,35.483,NaN,NaN
2018-03-29 20:30:00,35.488,NaN,NaN
2018-03-29 20:45:00,35.488,NaN,NaN
2018-03-29 21:00:00,35.487,NaN,NaN
2018-03-29 21:15:00,35.486,NaN,NaN
2018-03-29 21:30:00,35.485,NaN,NaN
2018-03-29 21:45:00,35.486,NaN,NaN
2018-03-29 22:00:00,35.487,NaN,NaN
2018-03-29 22:15:00,35.486,NaN,NaN
2018-03-29 22:30:00,35.484,NaN,NaN
2018-03-29 22:45:00,35.486,NaN,NaN
2018-03-29 23:00:00,35.488,NaN,NaN
2018-03-29 23:15:00,35.485,NaN,NaN
2018-03-29 23:30:00,35.483,NaN,NaN
2018-03-29 23:45:00,35.485,NaN,NaN
2018-03-30 00:00:00,35.488,NaN,NaN
2018-03-30 00:15:00,35.482,NaN,NaN
2018-03-30 00:30:00,35.476,NaN,NaN
2018-03-30 00:45:00,35.481,NaN,NaN
2018-03-30 01:00:00,35.486,NaN,NaN
2018-03-30 01:15:00,35.486,NaN,NaN
2018-03-30 01:30:00,35.487,NaN,NaN
2018-03-30 01:45:00,35.487,NaN,NaN
2018-03-30 02:00:00,35.488,NaN,NaN
2018-03-30 02:15:00,35.487,NaN,NaN
2018-03-30 02:30:00,35.486,NaN,NaN
2018-03-30 02:45:00,35.487,NaN,NaN
2018-03-30 03:00:00,35.488,NaN,NaN
